Key,English,Spanish
ShopTitleText,Shop,Tienda
UpgradesTabText,Upgrades,Mejoras
BoostsTabText,Boosts,Ventajas
ArgentinaDescription,The place where futbol passion is in the air,Donde la pasion del futbol esta en el aire
SanLorenzoDescription,"The argentine barcelona, isn't it?",El barcelona argentino en colores
IndependienteDescription,The king of Libertadores cup with 7,El rey de la gran copa libertadores con 7
BocaDescription,The most known club by a lot of people,Para muchos el club de futbol mas reconocido
RiverDescription,"Chickens can also play football, can't they?",Las gallinas tambien juegan a la pelota
VelocityTitle,Velocity,Velocidad
VelocityDescription,increases the speed. what else would it do? ,Incrementa la velocidad. Que mas haria?
ClockDurationTitle,Clock duration,Duracion reloj
ClockDurationDescription,you hate running out of time? Then buy this ,Compra esto si odias quedarte sin tiempo
ResistanceTitle,Resistance,Resistencia
ResistanceDescription,avoids reducing your speed so much when on mud,Reduce ralentizacion por barro
BoostsInformation,"boosts only last for 1 match, so make the most of them",Las ventajas solo duran una partida asi que aprovechalas
DoubleTrophiesTitle,x2 trophies,x2 trofeos
DoubleTrophiesDescription,Doubles the amount of trophies,Dobla la cantidad de trofeos recogidos
ShieldTitle,Shield,Escudo
ShieldDescription,Have another shot if collided with an obstacle,segunda chance si chocas con un obstaculo
NoObstaclesTitle,No obstacles,No obstaculos
NoObstaclesDescription,Breaks you free from obstacles until level 15,Te libera de obstaculos hasta el nivel 15
PickedSkin,picked,elegido
BoughtSkin,bought,tuyo